6_investors,Country/Town,"Deals Information, Level of Completeness",Disclosed ,Founded,Total  Disclosed Funding,DA Classification_African Company (Yes = 0; No = 1),Year,Month,Quarter,Half,Number of Investors,main_sector_encoded,funding_round_encoded,cat_Country
First Light Ventures,Kenya,0.9,1.0,2011.0,6504900.0,0.0,2010.0,8.0,3.0,2.0,1.0,1,1,10
Tim Draper,Nigeria,0.9,1.0,2009.0,32700000.0,0.0,2010.0,9.0,3.0,2.0,1.0,1,1,19
Undisclosed,Egypt,0.9,1.0,2009.0,7850000.0,0.0,2010.0,12.0,4.0,2.0,1.0,2,2,5
Omidyar Network,South Africa,0.9,1.0,2008.0,55800000.0,0.0,2011.0,5.0,2.0,1.0,1.0,3,2,23
TBL Mirror Fund,Kenya,0.9,1.0,2004.0,54500000.0,0.0,2011.0,10.0,4.0,2.0,1.0,1,3,10
Undisclosed,Kenya,0.9,1.0,2011.0,6504900.0,0.0,2011.0,11.0,4.0,2.0,1.0,1,1,10
Undisclosed,Kenya,0.9,1.0,2011.0,6504900.0,0.0,2011.0,11.0,4.0,2.0,1.0,1,1,10
Tiger Global Management,Nigeria,0.9,1.0,2010.0,30000000.0,0.0,2011.0,12.0,4.0,2.0,1.0,4,3,19
"Blakeney Management, Rocket Internet, Millicom Systems",Nigeria,0.9,1.0,2012.0,885400000.0,0.0,2012.0,1.0,1.0,1.0,3.0,5,3,19
Kinnevik AB,Nigeria,0.9,1.0,2012.0,79500000.0,0.0,2012.0,1.0,1.0,1.0,1.0,5,1,19
Undisclosed,Egypt,0.9,0.0,2011.0,1500000.0,0.0,2012.0,2.0,1.0,1.0,1.0,5,4,5
"Accion, Omidyar Network",Zambia,0.9,1.0,2009.0,19500000.0,0.0,2012.0,2.0,1.0,1.0,2.0,1,3,29
Mennonite Economic Development Associates,Zambia,0.9,1.0,2009.0,19500000.0,0.0,2012.0,2.0,1.0,1.0,1.0,1,5,29
Better Ventures,Kenya,0.9,1.0,2010.0,8620000.0,0.0,2012.0,4.0,2.0,1.0,1.0,6,1,10
"Omidyar Network, Goodwell Investments, Capricorn Investment Group, Adlevo Capital, Acumen",Nigeria,0.9,1.0,2009.0,32700000.0,0.0,2012.0,6.0,2.0,1.0,5.0,1,3,19
J.P. Morgan Asset Management,South Africa,0.9,0.0,2011.0,23000000.0,0.0,2012.0,9.0,3.0,2.0,1.0,5,3,23
Osman Ahmed Osman,Egypt,0.9,0.0,2012.0,500000.0,0.0,2012.0,10.0,4.0,2.0,1.0,6,4,5
eVentues Africa Fund,South Africa,0.9,1.0,2011.0,5050000.0,0.0,2012.0,10.0,4.0,2.0,1.0,1,3,23
Flat6Labs,Egypt,0.9,1.0,2012.0,510000.0,0.0,2012.0,10.0,4.0,2.0,1.0,5,1,5
Summit Partners,South Africa,0.9,1.0,2011.0,23000000.0,0.0,2012.0,11.0,4.0,2.0,1.0,5,6,23
"Savannah Fund, Opes Impact Fund, Data Collective DCVC",Kenya,0.9,0.0,2012.0,22000000.0,0.0,2013.0,1.0,1.0,1.0,3.0,5,1,10
Jabbar Internet Group,Egypt,0.9,0.0,2012.0,500000.0,0.0,2013.0,1.0,1.0,1.0,1.0,6,3,5
"Millicom Systems, Rocket Internet, MTN Group",Nigeria,0.9,1.0,2012.0,885400000.0,0.0,2013.0,1.0,1.0,1.0,3.0,5,6,19
"Naspers Ventures, Kinnevik AB",Nigeria,0.9,1.0,2012.0,79500000.0,0.0,2013.0,1.0,1.0,1.0,2.0,5,3,19
Spark,Nigeria,0.9,1.0,2013.0,1440000.0,0.0,2013.0,2.0,1.0,1.0,1.0,7,1,19
Savannah Fund,Kenya,0.9,0.0,2011.0,0.0,0.0,2013.0,2.0,1.0,1.0,1.0,3,1,10
Seek,South Africa,0.9,1.0,2012.0,30000000.0,0.0,2013.0,6.0,2.0,1.0,1.0,5,3,23
Tamkeen capital,Egypt,0.9,0.0,2010.0,1000000.0,0.0,2013.0,8.0,3.0,2.0,1.0,5,1,5
Flat6Labs,Egypt,0.9,1.0,2013.0,100000.0,0.0,2013.0,9.0,3.0,2.0,1.0,4,1,5
"Vodafone Ventures, Cairo Angels",Egypt,0.9,1.0,2012.0,2625000.0,0.0,2013.0,9.0,3.0,2.0,2.0,8,1,5
"Javelin Venture Partners,  Accion Venture Lab, Khosla Impact",Kenya,0.9,1.0,2011.0,6504900.0,0.0,2013.0,11.0,4.0,2.0,3.0,1,3,10
"Endure capital, 500 startups",Egypt,0.9,0.0,2009.0,7850000.0,0.0,2013.0,11.0,4.0,2.0,2.0,2,1,5
Savannah Fund,Kenya,0.9,1.0,2011.0,105000.0,0.0,2013.0,11.0,4.0,2.0,1.0,1,1,10
"Flat6Labs, Middle East Venture Partners (MEVP), Georges Harik, Cairo Angels, Amr Awadallah, Ihab Hinnawi",Egypt,0.9,1.0,2013.0,2120000.0,0.0,2013.0,12.0,4.0,2.0,6.0,9,1,5
Undisclosed,Uganda,0.9,1.0,2012.0,11080000.0,0.0,2013.0,12.0,4.0,2.0,1.0,1,4,26
Undisclosed,Angola,0.9,1.0,2013.0,169000.0,0.0,2013.0,12.0,4.0,2.0,1.0,8,1,1
"Tiger Global Management, Kinnevik AB, Rise Capital",Nigeria,0.9,1.0,2010.0,30000000.0,0.0,2013.0,12.0,4.0,2.0,3.0,4,7,19
"Naspers Ventures, Kinnevik AB",Nigeria,0.9,1.0,2012.0,79500000.0,0.0,2014.0,1.0,1.0,1.0,2.0,5,6,19
Undisclosed,Nigeria,0.9,1.0,2013.0,3315000.0,0.0,2014.0,1.0,1.0,1.0,1.0,10,1,19
Anthemis Group,South Africa,0.9,0.0,2014.0,91700000.0,0.0,2014.0,1.0,1.0,1.0,1.0,1,3,23
"Startupbootcamp Smart Transportation & Energy Berlin, Startupbootcamp",Rwanda,0.9,1.0,2014.0,905400.0,0.0,2014.0,2.0,1.0,1.0,2.0,11,1,20
Velocity Capital Private Equity,Kenya,0.9,1.0,2004.0,54500000.0,0.0,2014.0,2.0,1.0,1.0,1.0,1,6,10
Undisclosed,Nigeria,0.9,1.0,2012.0,15800000.0,0.0,2014.0,3.0,1.0,1.0,1.0,1,1,19
Undisclosed,Egypt,0.9,1.0,2014.0,2150000.0,0.0,2014.0,4.0,2.0,1.0,1.0,12,1,5
XSeed Capital,Nigeria,0.9,1.0,2014.0,17138000.0,0.0,2014.0,4.0,2.0,1.0,1.0,1,1,19
Accion Venture Lab,Kenya,0.9,0.0,2012.0,0.0,0.0,2014.0,5.0,2.0,1.0,1.0,1,1,10
Tiger Global Management,South Africa,0.9,1.0,2011.0,169000000.0,0.0,2014.0,5.0,2.0,1.0,1.0,5,8,23
"Future Perfect Ventures, Firestartr, Digital Currency Group",Kenya,0.9,1.0,2013.0,14970000.0,0.0,2014.0,5.0,2.0,1.0,3.0,1,1,10
Undisclosed,Cameroon,0.9,1.0,2013.0,555000.0,0.0,2014.0,6.0,2.0,1.0,1.0,4,1,4
CRE Venture Capital,South Africa,0.9,1.0,2013.0,20100000.0,0.0,2014.0,7.0,3.0,2.0,1.0,1,1,23
