Country/Town,3_amount
0,16100.0K
Algeria,1700.0K
Angola,689.0K
Australia,3400.0K
Benin,0.0K
Botswana,75.0K
Cameroon,644.5K
Egypt,156000.6K
Ethiopia,13526.5K
France,145.0K
Ghana,78748.7K
Ivory Coast,3075.2K
Kenya,809258.1K
Lesotho,0.0K
Madagascar,0.0K
Malawi,57.0K
Mali,700.0K
Mauritius,34046.8K
Morocco,5337.0K
Mozambique,0.0K
Namibia,150.0K
Nigeria,1386075.5K
Rwanda,15191.4K
Senegal,5810.0K
Sierra Leone,25.0K
South Africa,623200.2K
Tanzania,169425.0K
Tunisia,8595.0K
Uganda,37017.0K
United Kingdom,382411.5K
United States,204300.0K
United States of America,697.0K
Zambia,23536.0K
Zimbabwe,36625.0K
